"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"MHMR Authority of Brazos Valley ","TX","Healthcare Provider","78984","02/28/2023","Hacking/IT Incident","Network Server","No",""
"Community Health Group ","CA","Health Plan","824","02/28/2023","Hacking/IT Incident","Network Server","Yes",""
"Clarity Child Guidance Center","TX","Health Plan","531","02/28/2023","Unauthorized Access/Disclosure","Email","No",""
"Asante","OR","Healthcare Provider","8834","02/24/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Aloha Nursing Rehab Centre","HI","Healthcare Provider","20216","02/24/2023","Hacking/IT Incident","Network Server","No",""
"eMDs, Inc.","TX","Business Associate","625","02/24/2023","Hacking/IT Incident","Network Server","Yes",""
"White Bird Clinic","OR","Healthcare Provider","584","02/23/2023","Unauthorized Access/Disclosure","Email","No",""
"Hutchinson Clinic, P.A. ","KS","Healthcare Provider","100000","02/17/2023","Hacking/IT Incident","Network Server","No",""
"Jackson Lewis P.C. ","CA","Business Associate","986","02/17/2023","Theft","Other Portable Electronic Device","Yes",""
"San Juan Regional Medical Center","NM","Healthcare Provider","8500","02/15/2023","Hacking/IT Incident","Network Server","Yes",""
"Integrative Dentistry","WA","Healthcare Provider","2281","02/14/2023","Hacking/IT Incident","Network Server","No",""
"Reventics, LLC","FL","Business Associate","250918","02/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Intelligent Business Solutions ","NC","Business Associate","11595","02/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Compass Behavioral Health","KS","Healthcare Provider","537","02/10/2023","Hacking/IT Incident","Email","No",""
"Highmark Inc","PA","Business Associate","36600","02/10/2023","Hacking/IT Incident","Email","Yes",""
"Evergreen Treatment Services","WA","Healthcare Provider","21325","02/10/2023","Hacking/IT Incident","Network Server","No",""
"Highmark Inc","PA","Health Plan","239039","02/10/2023","Hacking/IT Incident","Email","No",""
"Wentworth Health Partners Garrison Women's Health","NH","Healthcare Provider","4158","02/10/2023","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Nelson Pharmacy Consulting Services PLC","IA","Healthcare Provider","500","02/10/2023","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Cheyenne Radiology Group & MRI, P.C.","WY","Healthcare Provider","12222","02/09/2023","Hacking/IT Incident","Network Server","No",""
"Tattnall County, Georgia","GA","Healthcare Provider","1337","02/09/2023","Hacking/IT Incident","Network Server","No",""
"Health Benefit Plan of Bridgewater-Raritan Regional School District","NJ","Health Plan","3909","02/09/2023","Hacking/IT Incident","Network Server","No",""
"90 Degree Benefits, Inc.","WI","Business Associate","175000","02/08/2023","Hacking/IT Incident","Network Server","Yes",""
"NR Pennsylvania Associates, LLC","PA","Healthcare Provider","14335","02/07/2023","Hacking/IT Incident","Network Server","No",""
"NR Connecticut, LLC","CT","Healthcare Provider","2160","02/07/2023","Hacking/IT Incident","Network Server","No",""
"Frank R. Laurri, M.D. and Associates, P.C.","NY","Healthcare Provider","2673","02/07/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Teijin Automotive Technologies Welfare Plan","MI","Health Plan","25464","02/06/2023","Hacking/IT Incident","Network Server","No",""
"Vitra Health, Inc.","MA","Healthcare Provider","1618","02/06/2023","Hacking/IT Incident","Email","No",""
"Rise Interactive Media & Analytics, LLC","IL","Business Associate","54509","02/03/2023","Hacking/IT Incident","Network Server","Yes",""
"Cardiovascular Associates","AL","Healthcare Provider","441640","02/03/2023","Hacking/IT Incident","Network Server","No",""
"Southeast Colorado Hospital District","CO","Healthcare Provider","1435","02/03/2023","Hacking/IT Incident","Email","No",""
"The Institute for Liver Health dba Arizona Liver Health-Arizona Clinical Trials","AZ","Healthcare Provider","1277","02/01/2023","Hacking/IT Incident","Network Server","No",""
"Arizona Health Advantage, Inc. d/b/a Arizona Priority Care; AZPC Clinics, LLC; and the health plans for which APC has executed a BAA, listed below","AZ","Healthcare Provider","10978","02/01/2023","Hacking/IT Incident","Network Server","No",""
"Regal Medical Group,Lakeside Medical Organization, ADOC Acquisition, & Greater Covina Medical Group","CA","Healthcare Provider","3388856","02/01/2023","Hacking/IT Incident","Network Server","No",""
"Institute for Hormonal Balance","TX","Healthcare Provider","597","01/31/2023","Theft","Paper/Films","No",""
"Brooks Rehabilitation","FL","Healthcare Provider","1554","01/31/2023","Unauthorized Access/Disclosure","Network Server","No",""
"DotHouse Health Incorporated","MA","Healthcare Provider","10000","01/27/2023","Hacking/IT Incident","Network Server","No",""
"Benefit Administrative Systems, LLC (BAS)","IL","Business Associate","6465","01/27/2023","Hacking/IT Incident","Network Server","Yes",""
"Cedar Oaks Surgery Center ","MO","Healthcare Provider","794","01/27/2023","Hacking/IT Incident","Email","No",""
"Stroke Scan Inc","TX","Healthcare Provider","50000","01/27/2023","Hacking/IT Incident","Desktop Computer","No",""
"Minuteman Senior Services","MA","Healthcare Provider","500","01/27/2023","Hacking/IT Incident","Email","No",""
"Benefit Management LLC","KS","Business Associate","3356","01/27/2023","Hacking/IT Incident","Email","Yes",""
"Hayward Sisters Hospital d/b/a St. Rose Hospital ","CA","Healthcare Provider","501","01/27/2023","Hacking/IT Incident","Network Server","No",""
"Howard Memorial Hospital","AR","Healthcare Provider","53668","01/27/2023","Hacking/IT Incident","Network Server","No",""
"Valley Care Home Health Services, Inc.","CA","Healthcare Provider","2674","01/25/2023","Theft","Other Portable Electronic Device","No",""
"AppleCare, LLC","GA","Healthcare Provider","512","01/23/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Peachtree Immediate Care FP, LLC","GA","Healthcare Provider","2555","01/23/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"City of Cleveland Health Plan","OH","Health Plan","15206","01/20/2023","Unauthorized Access/Disclosure","Network Server","No",""
"One Brooklyn Health System","NY","Healthcare Provider","500","01/18/2023","Hacking/IT Incident","Network Server","No",""
"University of Colorado Hospital Authority","CO","Healthcare Provider","48879","01/17/2023","Hacking/IT Incident","Network Server","Yes",""
"1st Franklin Financial Corporation Master Welfare Benefit Plan","GA","Health Plan","3039","01/13/2023","Hacking/IT Incident","Email","No",""
"Intelligent Business Solutions ","NC","Business Associate","500","01/13/2023","Hacking/IT Incident","Network Server","Yes",""
"Jefferson County Health Center d/b/a Jefferson County Health Department","MO","Healthcare Provider","115940","01/13/2023","Hacking/IT Incident","Network Server","No",""
"DPP II, LLC","TX","Healthcare Provider","125981","01/12/2023","Hacking/IT Incident","Network Server","No",""
"Community Psychiatry Management, LLC, dba Mindpath Health","NC","Healthcare Provider","193947","01/10/2023","Hacking/IT Incident","Email","No",""
"Vascular Institute of Houston, PLLC","TX","Healthcare Provider","1195","01/05/2023","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"Vascular Institute of North Texas, PLLC ","TX","Healthcare Provider","5853","01/05/2023","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"Pershing Health System","MO","Healthcare Provider","5368","01/05/2023","Hacking/IT Incident","Email","No",""
"Insulet Corporation","MA","Healthcare Provider","29000","01/05/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Texas Orthopaedic & Sports Medicine","TX","Healthcare Provider","1064","01/05/2023","Hacking/IT Incident","Electronic Medical Record, Laptop","No",""
"Lantern Hill Retirement Community","NJ","Healthcare Provider","528","01/05/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Live Oak Surgery Center","TX","Healthcare Provider","5264","01/03/2023","Hacking/IT Incident","Email","No",""
"Barclay Damon LLP","NY","Business Associate","1039","01/03/2023","Hacking/IT Incident","Email","Yes",""
"Circles of Care, Inc. ","FL","Healthcare Provider","61170","01/03/2023","Hacking/IT Incident","Network Server","No",""
"Bay Bridge Administrators, LLC","TX","Business Associate","187742","12/30/2022","Hacking/IT Incident","Network Server","Yes",""
"Fitzgibbon Hospital","MO","Healthcare Provider","112072","12/30/2022","Unauthorized Access/Disclosure","Network Server","No",""
"NR Florida Associates LLC","FL","Healthcare Provider","6250","12/30/2022","Hacking/IT Incident","Network Server","No",""
"L. Knife & Son, Inc. Employee Benefits Plan","MA","Health Plan","4082","12/30/2022","Hacking/IT Incident","Network Server","No",""
"MJ Care","WI","Business Associate","1832","12/29/2022","Hacking/IT Incident","Email","Yes",""
"Bosselman Energy, Inc. Employee Health Benefits Plan","NE","Health Plan","735","12/29/2022","Hacking/IT Incident","Network Server","No",""
"CellNetix Pathology & Laboratories","WA","Healthcare Provider","1969","12/28/2022","Hacking/IT Incident","Email","No",""
"Quality Behavioral Health","WA","Healthcare Provider","3498","12/26/2022","Hacking/IT Incident","Network Server","No",""
"Legacy Operating Company d/b/a Legacy Hospice","AL","Healthcare Provider","21202","12/22/2022","Hacking/IT Incident","Email","No",""
"Southwest Louisiana Health Care System, Inc. d/b/a Lake Charles Memorial Health System","LA","Healthcare Provider","269752","12/22/2022","Hacking/IT Incident","Network Server","No",""
"University of Miami ","FL","Healthcare Provider","973","12/22/2022","Unauthorized Access/Disclosure","Email","No",""
"Sequoia Benefits and Insurance Services, LLC, d/b/a Sequoia Consulting Group","CA","Business Associate","4265","12/20/2022","Hacking/IT Incident","Other","Yes",""
"Bay City Health & Rehabilitation Center ","TX","Healthcare Provider","2000","12/20/2022","Hacking/IT Incident","Network Server","No",""
"Prairie Lakes Healthcare System","SD","Healthcare Provider","1060","12/20/2022","Hacking/IT Incident","Network Server","Yes",""
"Metropolitan Area EMS Authority dba MedStar Mobile Healthcare","TX","Healthcare Provider","612000","12/19/2022","Hacking/IT Incident","Network Server","No",""
"Monarch","NC","Healthcare Provider","56155","12/16/2022","Hacking/IT Incident","Network Server","No",""
"Foundcare, Inc.","FL","Healthcare Provider","14194","12/16/2022","Hacking/IT Incident","Email","No",""
"AAA Collections, Inc.","SD","Business Associate","4635","12/15/2022","Hacking/IT Incident","Network Server","Yes",""
"Avem Health Partners","OK","Business Associate","271303","12/13/2022","Hacking/IT Incident","Network Server","Yes",""
"Robert S Miller, LICSW, ACSW, PLLC","WA","Healthcare Provider","902","12/13/2022","Hacking/IT Incident","Laptop","No",""
"Sleep Center Hawaii","HI","Healthcare Provider","5396","12/12/2022","Hacking/IT Incident","Email","No",""
"KEMET Electronics Medical/Dental/EAP","FL","Health Plan","2927","12/09/2022","Hacking/IT Incident","Network Server","No",""
"Pediatrics West, P.C.","MA","Healthcare Provider","1364","12/09/2022","Hacking/IT Incident","Network Server","No",""
"Rhode Island Department of Health","RI","Healthcare Provider","8800","12/07/2022","Unauthorized Access/Disclosure","Email","Yes",""
"Blakehurst","MD","Healthcare Provider","1047","12/06/2022","Hacking/IT Incident","Email","No",""
"Employee Group Insurance Benefits Plan of Acuity Brands, Inc.","GA","Health Plan","20849","12/06/2022","Hacking/IT Incident","Network Server","No",""
"Polsinelli PC","MO","Business Associate","1220","12/02/2022","Hacking/IT Incident","Network Server","Yes",""
"NYC Health + Hospitals","NY","Healthcare Provider","2174","12/02/2022","Loss","Other Portable Electronic Device","No",""
"CommonSpirit Health","IL","Business Associate","623774","12/01/2022","Hacking/IT Incident","Network Server","Yes",""
"Keck Medicine of USC","CA","Healthcare Provider","2200","11/29/2022","Hacking/IT Incident","Email","No",""
"Dallam Hartley Counties Hospital District","TX","Healthcare Provider","69835","11/23/2022","Hacking/IT Incident","Network Server","No",""
"Compton & Broomhead Dental Center","IN","Healthcare Provider","1307","11/23/2022","Hacking/IT Incident","Email","No",""
"Mena Regional Health System","AR","Healthcare Provider","84814","11/22/2022","Hacking/IT Incident","Network Server","No",""
"Hope Health Systems Inc.","MD","Healthcare Provider","9972","11/21/2022","Hacking/IT Incident","Electronic Medical Record","No",""
"Orlando Health","FL","Healthcare Provider","3662","11/18/2022","Hacking/IT Incident","Email","No",""
"Wright & Filippis LLC","MI","Healthcare Provider","877584","11/18/2022","Hacking/IT Incident","Network Server","No",""
"Gateway Rehabilitation Center","PA","Healthcare Provider","130000","11/18/2022","Hacking/IT Incident","Network Server","No",""
"University Medical Center of Southern Nevada","NV","Healthcare Provider","1861","11/17/2022","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"CONSUMER DIRECTED SERVICES IN TEXAS, INC.","TX","Healthcare Provider","56728","11/17/2022","Hacking/IT Incident","Network Server","Yes",""
"Innovative Service Technology Management Services, Inc. ","GA","Health Plan","2654","11/17/2022","Hacking/IT Incident","Network Server","No",""
"South Walton Fire District","FL","Healthcare Provider","25331","11/15/2022","Hacking/IT Incident","Network Server","No",""
"Docs Medical Inc","CT","Healthcare Provider","3146","11/15/2022","Hacking/IT Incident","Network Server","No",""
"Epic Management LLC","TN","Healthcare Provider","10862","11/14/2022","Hacking/IT Incident","Email","No",""
"Health Care Management Solutions, LLC","WV","Business Associate","500000","11/14/2022","Hacking/IT Incident","Network Server","Yes",""
"Yale University","CT","Healthcare Provider","9051","11/11/2022","Hacking/IT Incident","Network Server","No",""
"NewYork-Presbyterian Hospital","NY","Healthcare Provider","12000","11/11/2022","Hacking/IT Incident","Laptop","No",""
"Stanley Street Treatment and Resources, Inc. ","MA","Healthcare Provider","45785","11/11/2022","Hacking/IT Incident","Network Server","No",""
"Connexin Software, Inc.","PA","Business Associate","2675934","11/11/2022","Hacking/IT Incident","Network Server","Yes",""
"Doctors' Center Hospital","","Healthcare Provider","1195220","11/09/2022","Hacking/IT Incident","Network Server","No",""
"Heartland Alliance ","IL","Business Associate","46694","11/08/2022","Hacking/IT Incident","Network Server","Yes",""
"Eastside Pediatrics, PLLC","NY","Healthcare Provider","1723","11/08/2022","Hacking/IT Incident","Network Server","No",""
"OCEANVIEWS OPTICAL INC","FL","Healthcare Provider","2000","11/03/2022","Hacking/IT Incident","Network Server","No",""
"Pinnacle Claims Management, Inc.","CA","Business Associate","2048","11/03/2022","Hacking/IT Incident","Network Server","Yes",""
"TIC International Corporation (“TIC”)","IN","Business Associate","1362","11/01/2022","Hacking/IT Incident","Network Server","Yes",""
"CorrectCare Integrated Health, Inc.","KY","Business Associate","4380","10/31/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"CorrectCare Integrated Health, Inc.","KY","Business Associate","438713","10/31/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"Alta Forest Products Health and Welfare Plan","WA","Health Plan","2100","10/31/2022","Hacking/IT Incident","Network Server","No",""
"Heart of Florida Health Center, Inc.","FL","Healthcare Provider","721","10/31/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"The Psychology Center","WI","Healthcare Provider","3614","10/31/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Louisiana Department of Public Safety and Corrections","LA","Healthcare Provider","85466","10/31/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"Administrative Fund of the Detectives’ Endowment Association, Inc., Police Department City of New York","NY","Health Plan","21544","10/31/2022","Hacking/IT Incident","Email","No",""
"St Luke's Health - Texas","TX","Healthcare Provider","16906","10/30/2022","Hacking/IT Incident","Email","Yes",""
"Assurance Health System, LLC","IN","Healthcare Provider","3565","10/28/2022","Hacking/IT Incident","Email","No",""
"SightCare, Inc.","AZ","Health Plan","637999","10/28/2022","Hacking/IT Incident","Network Server","Yes",""
"Nationwide Optometry, PC","AZ","Healthcare Provider","73073","10/28/2022","Hacking/IT Incident","Network Server","Yes",""
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Services","NJ","Health Plan","3900","10/27/2022","Unauthorized Access/Disclosure","Email","No",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","33857","10/25/2022","Hacking/IT Incident","Email","No",""
"Coastal Horizons Center Inc.","NC","Healthcare Provider","679","10/25/2022","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Somnia, Inc.","NY","Healthcare Provider","1326","10/24/2022","Hacking/IT Incident","Network Server","No",""
"Somnia Pain Mgt of Kentucky","NY","Healthcare Provider","10848","10/24/2022","Hacking/IT Incident","Network Server","No",""
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services ","IL","Health Plan","480435","10/21/2022","Hacking/IT Incident","Network Server","No",""
"Phoenix Programs of Florida, Inc.","FL","Healthcare Provider","6594","10/21/2022","Hacking/IT Incident","Email","No",""
"Dr. Scott B. Klimaj, DMD","RI","Healthcare Provider","1558","10/21/2022","Hacking/IT Incident","Network Server","No",""
"Wenco Management, LLC Health and Welfare Benefit Plan","OH","Health Plan","20526","10/20/2022","Hacking/IT Incident","Network Server","No",""
"Pynenberg & Scheske DDS,SC ","WI","Healthcare Provider","2612","10/20/2022","Hacking/IT Incident","Network Server","No",""
"Sigmund Software, LLC ","CT","Business Associate","983","10/20/2022","Hacking/IT Incident","Network Server","Yes",""
"Lifeline Systems Company","MA","Healthcare Provider","72848","10/16/2022","Hacking/IT Incident","Network Server","No",""
"Friend Family Health Center, Inc.","IL","Healthcare Provider","1419","10/14/2022","Hacking/IT Incident","Email","No",""
"Alain A. Montiel, DDS","CA","Healthcare Provider","17157","10/14/2022","Theft","Laptop","No",""
"Blue Cross and Blue Shield of Kansas","KS","Health Plan","1308","10/14/2022","Hacking/IT Incident","Network Server","No",""
"WakeMed Health and Hospitals","NC","Healthcare Provider","495808","10/14/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Springfield Clinic","IL","Healthcare Provider","802","10/14/2022","Loss","Other Portable Electronic Device","No",""
"HH/Killeen Health System, LLC doing business as Seton Medical Center Harker Heights","TX","Healthcare Provider","15056","10/14/2022","Hacking/IT Incident","Email","Yes",""
"Ascension St. Vincent’s Coastal Cardiology","GA","Healthcare Provider","71227","10/14/2022","Hacking/IT Incident","Network Server","No",""
"The Valley Hospital","NJ","Healthcare Provider","4245","10/14/2022","Improper Disposal","Paper/Films","No",""
"Keystone Health","PA","Healthcare Provider","235237","10/14/2022","Hacking/IT Incident","Network Server","No",""
"Premier Physical Therapy and Sports Performance, Limited Partnership","DE","Healthcare Provider","982","10/12/2022","Hacking/IT Incident","Email","No",""
"Sage Counseling Omaha","NE","Healthcare Provider","1359","10/12/2022","Theft","Electronic Medical Record","No",""
"Defense Health Headquarters","VA","Health Plan","1279","10/12/2022","Hacking/IT Incident","Network Server","No",""
"Aesthetic Dermatology Associates, PC","PA","Healthcare Provider","33793","10/10/2022","Hacking/IT Incident","Network Server","No",""
"Regional Women’s Health Group, LLC","NJ","Healthcare Provider","804","10/10/2022","Unauthorized Access/Disclosure","Other Portable Electronic Device","No",""
"Lifespire Services, Inc.","NY","Healthcare Provider","15375","10/07/2022","Hacking/IT Incident","Network Server","No",""
"Falcon Healthcare, Inc. dba Interim Healthcare of Lubbock Texas","TX","Healthcare Provider","1500","10/07/2022","Hacking/IT Incident","Network Server","No",""
"Urology of Greater Atlanta, LLC","GA","Healthcare Provider","79795","10/07/2022","Hacking/IT Incident","Network Server, Other","No",""
"Wisconsin Department of Health Services","WI","Health Plan","12358","10/07/2022","Unauthorized Access/Disclosure","Email","No",""
"Berkshire Farm Center & Services for Youth","NY","Healthcare Provider","951","10/06/2022","Hacking/IT Incident","Email","No",""
"Valle del Sol, Inc.","AZ","Healthcare Provider","70268","10/05/2022","Hacking/IT Incident","Network Server","No",""
"Family Medicine Shady Grove LLC","MD","Healthcare Provider","6482","10/03/2022","Hacking/IT Incident","Network Server","No",""
"VisionWeb Holdings, LLC","TX","Business Associate","35900","10/03/2022","Hacking/IT Incident","Email","Yes",""
"Monroe Ear Nose and Throat Associates, PC","MI","Healthcare Provider","14500","09/30/2022","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Anthem ACE","IN","Health Plan","13406","09/30/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"Anthem Health Plans of Kentucky, Incorporated","IN","Business Associate","537","09/29/2022","Theft","Other Portable Electronic Device","Yes",""
"Smith, Gambrell & Russell, LLP","GA","Business Associate","4688","09/28/2022","Hacking/IT Incident","Network Server","Yes",""
"Reid and Riege, P.C.","CT","Business Associate","610","09/28/2022","Hacking/IT Incident","Network Server","Yes",""
"McPherson Hospital, Inc.","KS","Healthcare Provider","19020","09/26/2022","Hacking/IT Incident","Network Server","No",""
"Extended MLTC","NY","Health Plan","5494","09/26/2022","Hacking/IT Incident","Network Server","Yes",""
"Montefiore Medical Center","NY","Healthcare Provider","1332","09/23/2022","Theft","Other Portable Electronic Device","No",""
"FMC Services, LLC","TX","Healthcare Provider","233948","09/23/2022","Hacking/IT Incident","Network Server","No",""
"Grayling Anesthesia Associates PC","MI","Healthcare Provider","15378","09/23/2022","Hacking/IT Incident","Network Server","No",""
"Cynthia Paul, M.D., LLC d/b/a The Coeur Group","NE","Healthcare Provider","2020","09/23/2022","Hacking/IT Incident","Email","No",""
"WellMed Medical Management","TX","Healthcare Provider","10506","09/23/2022","Unauthorized Access/Disclosure","Electronic Medical Record, Network Server","No",""
"Physician’s Business Office, Inc.","WV","Business Associate","196673","09/23/2022","Hacking/IT Incident","Network Server","Yes",""
"Dyersburg Family Walk-In Clinic, LLC (d/b/a Reelfoot Family Walk-In Clinic)","TN","Healthcare Provider","58562","09/23/2022","Hacking/IT Incident","Network Server","No",""
"Bloomington Meadows Hospital","IN","Healthcare Provider","788","09/23/2022","Unauthorized Access/Disclosure","Email","No",""
"UW Medicine","WA","Healthcare Provider","3804","09/21/2022","Hacking/IT Incident","Network Server","Yes",""
"Berkshire Farm Center & Services for Youth  ","NY","Healthcare Provider","23058","09/16/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Landmark Management Services","FL","Healthcare Provider","501","09/15/2022","Hacking/IT Incident","Network Server","No",""
"Centerstone of Tennessee, Inc.","TN","Healthcare Provider","3675","09/12/2022","Hacking/IT Incident","Email","No",""
"SERV Behavioral Health Systems, Inc.","NJ","Healthcare Provider","8110","09/09/2022","Hacking/IT Incident","Network Server","No",""
"FEDERAL EXPRESS CORPORATION GROUP HEALTH PLAN FOR PILOTS","TN","Health Plan","983","09/09/2022","Hacking/IT Incident","Network Server","Yes",""
"The Sargent’s Group","PA","Business Associate","1650","09/09/2022","Hacking/IT Incident","Network Server","Yes",""
"Medical Associates of the Lehigh Valley","PA","Healthcare Provider","75628","09/09/2022","Hacking/IT Incident","Network Server","No",""
"Independent Living Systems, LLC","FL","Business Associate","501","09/02/2022","Hacking/IT Incident","Network Server","Yes",""
"Narragansett Bay Commission","RI","Healthcare Provider","2153","09/01/2022","Hacking/IT Incident","Network Server","No",""
"Walgreen Co.","IL","Healthcare Provider","1704","08/31/2022","Theft","Paper/Films","No",""
"Trinity Health ","MI","Business Associate","5738","08/29/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"NYSARC Columbia County Chapter d/b/a COARC","NY","Healthcare Provider","5701","08/29/2022","Hacking/IT Incident","Network Server","No",""
"Methodist McKinney Hospital","TX","Healthcare Provider","110244","08/26/2022","Hacking/IT Incident","Network Server","No",""
"Methodist Craig Ranch Surgical Center","TX","Healthcare Provider","15157","08/26/2022","Hacking/IT Incident","Network Server","No",""
"General Health System","LA","Healthcare Provider","46149","08/25/2022","Hacking/IT Incident","Network Server","No",""
"Farmville Internal Medicine","NC","Healthcare Provider","3000","08/25/2022","Hacking/IT Incident","Electronic Medical Record, Network Server","Yes",""
"Community Bridges","NH","Healthcare Provider","10461","08/24/2022","Hacking/IT Incident","Network Server","No",""
"Warner Norcross and Judd, LLP","MI","Business Associate","255160","08/24/2022","Hacking/IT Incident","Network Server","Yes",""
"San Diego American Indian Health Center","CA","Healthcare Provider","27367","08/15/2022","Hacking/IT Incident","Network Server","No",""
"AdventHealth Medical Group OB GYN at Woodridge","IL","Healthcare Provider","2001","08/15/2022","Loss","Other Portable Electronic Device","No",""
"Priti Patel Physician PC","NY","Healthcare Provider","6877","08/14/2022","Hacking/IT Incident","Network Server","No",""
"Valley Baptist Medical Center – Harlingen","TX","Healthcare Provider","11137","08/12/2022","Hacking/IT Incident","Network Server","No",""
"Valley Baptist Medical Center - Brownsville","TX","Healthcare Provider","7496","08/12/2022","Hacking/IT Incident","Network Server","No",""
"Specialized Treatment Facility","MS","Healthcare Provider","1059","08/12/2022","Unauthorized Access/Disclosure","Email","No",""
"Rock County Human Services Department","WI","Healthcare Provider","25610","08/12/2022","Hacking/IT Incident","Email","No",""
"DataStat, Inc.","MI","Business Associate","1650","08/08/2022","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Maternal and Family Health Services","PA","Healthcare Provider","500","08/08/2022","Hacking/IT Incident","Network Server","No",""
"Inline Network Integration, LLC","TX","Business Associate","500","08/05/2022","Hacking/IT Incident","Network Server","Yes",""
"Living Innovations","NH","Healthcare Provider","4000","08/05/2022","Hacking/IT Incident","Email","No",""
"Centerstone of Indiana, Inc.","IN","Healthcare Provider","1700","08/04/2022","Hacking/IT Incident","Email","No",""
"Practice Resources, LLC","NY","Business Associate","942138","08/04/2022","Hacking/IT Incident","Network Server","Yes",""
"Independent Case Management, INC.","AR","Healthcare Provider","3307","08/03/2022","Hacking/IT Incident","Network Server","No",""
"Eventus WholeHealth PLLC","NC","Healthcare Provider","1707","07/29/2022","Hacking/IT Incident","Email","No",""
"Healthback Holdings, LLC ","OK","Healthcare Provider","21114","07/29/2022","Hacking/IT Incident","Email","No",""
"Minuteman Senior Services","MA","Healthcare Provider","4000","07/29/2022","Hacking/IT Incident","Email","No",""
"OneTouchPoint, Inc.","WI","Business Associate","4112892","07/27/2022","Hacking/IT Incident","Network Server","Yes",""
"BHG Holdings, LLC dba Behavioral Health Group","TX","Healthcare Provider","197507","07/27/2022","Hacking/IT Incident","Network Server","No",""
"Dr. Manaf Ahmad","TX","Healthcare Provider","3717","07/26/2022","Hacking/IT Incident","Email","No",""
"Allegheny Heath Network","PA","Healthcare Provider","8071","07/26/2022","Hacking/IT Incident","Email","No",""
"Lawson Products, Inc.","IL","Health Plan","791","07/26/2022","Hacking/IT Incident","Network Server","No",""
"Santa Rosa County District Schools","FL","Health Plan","9424","07/25/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Scott County, Iowa","IA","Business Associate","1583","07/25/2022","Hacking/IT Incident","Email","Yes",""
"NuLife Med, LLC","NH","Business Associate","3805","07/25/2022","Hacking/IT Incident","Network Server","Yes",""
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ","VA","Business Associate","1457","07/25/2022","Hacking/IT Incident","Network Server","Yes",""
"Center for Primary Care","GA","Healthcare Provider","2400","07/25/2022","Hacking/IT Incident","Email","No",""
"Radiation Oncology Centers of the Carolinas","NC","Healthcare Provider","1116","07/25/2022","Hacking/IT Incident","Email","No",""
"Benefit Plan Administrators, Inc. ","VA","Business Associate","5004","07/22/2022","Hacking/IT Incident","Network Server","Yes",""
"City of Newport, Rhode Island","RI","Health Plan","6109","07/22/2022","Hacking/IT Incident","Network Server","No",""
"Patriot Growth Insurance Services, LLC","PA","Business Associate","4614","07/21/2022","Hacking/IT Incident","Email","Yes",""
"Central Maine Medical Center","ME","Healthcare Provider","11938","07/21/2022","Hacking/IT Incident","Network Server","Yes",""
"Cavender Stores, Ltd Health Plan","TX","Health Plan","4447","07/20/2022","Hacking/IT Incident","Network Server","No",""
"Dow Rummel Village","SD","Healthcare Provider","1079","07/20/2022","Hacking/IT Incident","Email","No",""
"Zenith American Solutions","WA","Business Associate","37146","07/20/2022","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Goodman Campbell Brain and Spine","IN","Healthcare Provider","362833","07/19/2022","Hacking/IT Incident","Network Server","No",""
"ProMedica","OH","Healthcare Provider","1178","07/19/2022","Unauthorized Access/Disclosure","Email","No",""
"Acts Retirement Services, Inc. and Affiliates","PA","Healthcare Provider","2236","07/15/2022","Hacking/IT Incident","Network Server","No",""
"Mary Hitchcock Memorial Hospital d/b/a Dartmouth-Hitchcock Medical Center ","NH","Healthcare Provider","1201","07/15/2022","Loss","Laptop","No",""
